criterion,spearman_rho,p_value
effective_rank,0.6099458358419502,8.78863223045363e-08
spectral_entropy,0.6744260856632276,9.982685010465502e-10
concentration_index,-0.610223093413364,8.639404817811864e-08
rank_ratio,,
top5_energy,-0.8044820815256193,1.1710188621252718e-15
gap_ratio,-0.5513472759515547,2.3409295811363557e-06
participation_ratio,0.609987753156935,8.765916150669664e-08
