task,variant,feature_map,n_qubits,seed,acc_quantum,quantum_advantage,acc_rbf,acc_rff,acc_linear,acc_poly,best_classical,best_gamma,effective_rank,participation_ratio,spectral_entropy,concentration_index,rank_ratio,top5_energy,gap_ratio,power_law_exponent
harmonic,angle_d1,angle,5,0,0.4166666666666667,-0.22222222222222215,0.6388888888888888,0.5833333333333334,0.4722222222222222,0.5,0.6388888888888888,2.0,8.732078436035222,8.732078436035222,3.9534807483989347,0.896046685285295,0.9642857142857143,0.6215518652167088,0.7083228588532321,4.186222918921958
harmonic,angle_d2,angle,5,0,0.4166666666666667,-0.22222222222222215,0.6388888888888888,0.5833333333333334,0.4722222222222222,0.5,0.6388888888888888,2.0,8.732078436035222,8.732078436035222,3.9534807483989347,0.896046685285295,0.9642857142857143,0.6215518652167088,0.7083228588532321,4.186222918921958
harmonic,angle_d3,angle,5,0,0.4166666666666667,-0.22222222222222215,0.6388888888888888,0.5833333333333334,0.4722222222222222,0.5,0.6388888888888888,2.0,8.732078436035222,8.732078436035222,3.9534807483989347,0.896046685285295,0.9642857142857143,0.6215518652167088,0.7083228588532321,4.186222918921958
harmonic,iqp_d1,iqp,5,0,0.5,-0.13888888888888884,0.6388888888888888,0.5833333333333334,0.4722222222222222,0.5,0.6388888888888888,2.0,16.7972769974216,16.79727699742161,4.966084865366849,0.8000324166973619,1.0,0.41290968315506227,0.7416816418874875,1.9041853736280818
harmonic,iqp_d2,iqp,5,0,0.6388888888888888,0.0,0.6388888888888888,0.5833333333333334,0.4722222222222222,0.5,0.6388888888888888,2.0,19.68642450210604,19.686424502106043,5.169487710381256,0.7656378035463567,1.0,0.3765374556427883,0.724781416064682,1.661258248926421
harmonic,iqp_d3,iqp,5,0,0.5277777777777778,-0.11111111111111105,0.6388888888888888,0.5833333333333334,0.4722222222222222,0.5,0.6388888888888888,2.0,22.86333378609152,22.863333786091534,5.3035824529176345,0.7278174549274818,1.0,0.35215287595228034,0.6895638571362578,1.4756374774031868
harmonic,var_d2_e1,variational,5,0,0.5555555555555556,-0.08333333333333326,0.6388888888888888,0.5833333333333334,0.4722222222222222,0.5,0.6388888888888888,2.0,6.417526660351464,6.417526660351461,3.925228372189777,0.923600873091054,1.0,0.6155154369331955,0.824339501788352,2.469703333975148
harmonic,var_d2_e03,variational,5,0,0.5833333333333334,-0.05555555555555547,0.6388888888888888,0.5833333333333334,0.4722222222222222,0.5,0.6388888888888888,2.0,4.528162179689993,4.528162179689991,3.467107515269965,0.9460933073846429,1.0,0.6700296418721228,0.8701166150225376,2.6267559061339827
harmonic,var_d3_e1,variational,5,0,0.6111111111111112,-0.02777777777777768,0.6388888888888888,0.5833333333333334,0.4722222222222222,0.5,0.6388888888888888,2.0,9.464238190417813,9.464238190417817,4.3944582409007955,0.8873304977331212,1.0,0.5146464689932002,0.8055753562853716,2.1674018654026614
harmonic,highd_d2_f15,high_dim,5,0,0.4722222222222222,-0.16666666666666663,0.6388888888888888,0.5833333333333334,0.4722222222222222,0.5,0.6388888888888888,2.0,43.56337543025231,43.56337543025232,5.895481352231412,0.4813883877350916,1.0,0.2334853431224022,0.5900513324310857,0.8428126994254366
harmonic,highd_d2_f30,high_dim,5,0,0.4444444444444444,-0.19444444444444442,0.6388888888888888,0.5833333333333334,0.4722222222222222,0.5,0.6388888888888888,2.0,54.59850293884072,54.598502938840696,6.071023784852497,0.3500178221566581,1.0,0.18092284778402115,0.5975636109177893,0.6835343574848526
harmonic,highd_d3_f15,high_dim,5,0,0.4722222222222222,-0.16666666666666663,0.6388888888888888,0.5833333333333334,0.4722222222222222,0.5,0.6388888888888888,2.0,43.563375430252314,43.563375430252314,5.895481352231414,0.4813883877350915,1.0,0.23348534312240218,0.5900513324310855,0.8428126994254364
harmonic,angle_d1,angle,5,1,0.4444444444444444,-0.05555555555555558,0.4722222222222222,0.5,0.4444444444444444,0.4722222222222222,0.5,0.05,8.473998123081843,8.473998123081843,3.985972365811728,0.8991190699633114,0.9642857142857143,0.6093450142343342,0.7506710616484378,4.251457903410878
harmonic,angle_d2,angle,5,1,0.4444444444444444,-0.05555555555555558,0.4722222222222222,0.5,0.4444444444444444,0.4722222222222222,0.5,0.05,8.473998123081843,8.473998123081843,3.985972365811728,0.8991190699633114,0.9642857142857143,0.6093450142343342,0.7506710616484378,4.251457903410878
harmonic,angle_d3,angle,5,1,0.4444444444444444,-0.05555555555555558,0.4722222222222222,0.5,0.4444444444444444,0.4722222222222222,0.5,0.05,8.473998123081843,8.473998123081843,3.985972365811728,0.8991190699633114,0.9642857142857143,0.6093450142343342,0.7506710616484378,4.251457903410878
harmonic,iqp_d1,iqp,5,1,0.4444444444444444,-0.05555555555555558,0.4722222222222222,0.5,0.4444444444444444,0.4722222222222222,0.5,0.05,14.239447402341705,14.239447402341698,4.843819214735449,0.8304827690197416,1.0,0.4419783807186671,0.7601080012587397,2.041970908000717
harmonic,iqp_d2,iqp,5,1,0.3888888888888889,-0.1111111111111111,0.4722222222222222,0.5,0.4444444444444444,0.4722222222222222,0.5,0.05,18.783797168191388,18.783797168191377,5.126772695420866,0.7763833670453406,1.0,0.3840701545887548,0.7023763939236303,1.8231025231261837
harmonic,iqp_d3,iqp,5,1,0.4444444444444444,-0.05555555555555558,0.4722222222222222,0.5,0.4444444444444444,0.4722222222222222,0.5,0.05,20.59018055777617,20.590180557776165,5.237215091091449,0.7548788028836171,1.0,0.36917552171579365,0.6864989046035496,1.593474282331712
harmonic,var_d2_e1,variational,5,1,0.4722222222222222,-0.02777777777777779,0.4722222222222222,0.5,0.4444444444444444,0.4722222222222222,0.5,0.05,6.43661022564975,6.436610225649747,3.9789246392634814,0.9233736877898839,1.0,0.6023390342542709,0.8239251786169668,2.548607180694076
harmonic,var_d2_e03,variational,5,1,0.4722222222222222,-0.02777777777777779,0.4722222222222222,0.5,0.4444444444444444,0.4722222222222222,0.5,0.05,4.966315110928305,4.966315110928304,3.6528657313705555,0.9408772010603773,1.0,0.6372793657098266,0.8616048309756378,2.632107964992931
harmonic,var_d3_e1,variational,5,1,0.4166666666666667,-0.08333333333333331,0.4722222222222222,0.5,0.4444444444444444,0.4722222222222222,0.5,0.05,9.294279947752287,9.29427994775228,4.428087023960842,0.8893538101458061,1.0,0.4992292418531932,0.8285388808620002,2.261221024381615
harmonic,highd_d2_f15,high_dim,5,1,0.4722222222222222,-0.02777777777777779,0.4722222222222222,0.5,0.4444444444444444,0.4722222222222222,0.5,0.05,47.470571866168534,47.470571866168534,5.967732969507414,0.43487414445037464,1.0,0.21561274549611367,0.5952342511287789,0.7789907143022406
harmonic,highd_d2_f30,high_dim,5,1,0.4722222222222222,-0.02777777777777779,0.4722222222222222,0.5,0.4444444444444444,0.4722222222222222,0.5,0.05,55.610859053425095,55.6108590534251,6.077237405970301,0.3379659636497012,1.0,0.1766381888560494,0.6027630382408332,0.6832834219691811
harmonic,highd_d3_f15,high_dim,5,1,0.4722222222222222,-0.02777777777777779,0.4722222222222222,0.5,0.4444444444444444,0.4722222222222222,0.5,0.05,47.470571866168555,47.47057186616854,5.967732969507414,0.4348741444503743,1.0,0.21561274549611364,0.5952342511287789,0.7789907143022408
harmonic,angle_d1,angle,5,2,0.5833333333333334,0.0,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.4722222222222222,0.5833333333333334,0.05,10.063580024754168,10.06358002475417,4.147310100888561,0.8801954758957837,0.9642857142857143,0.572783860319311,0.7008683986256975,4.059340952318666
harmonic,angle_d2,angle,5,2,0.5833333333333334,0.0,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.4722222222222222,0.5833333333333334,0.05,10.063580024754168,10.06358002475417,4.147310100888561,0.8801954758957837,0.9642857142857143,0.572783860319311,0.7008683986256975,4.059340952318666
harmonic,angle_d3,angle,5,2,0.5833333333333334,0.0,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.4722222222222222,0.5833333333333334,0.05,10.063580024754168,10.06358002475417,4.147310100888561,0.8801954758957837,0.9642857142857143,0.572783860319311,0.7008683986256975,4.059340952318666
harmonic,iqp_d1,iqp,5,2,0.4722222222222222,-0.11111111111111116,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.4722222222222222,0.5833333333333334,0.05,16.187970959056074,16.187970959056074,4.99005825756889,0.8072860600112373,1.0,0.41439376762756674,0.744801260587723,1.9837136898209193
harmonic,iqp_d2,iqp,5,2,0.5833333333333334,0.0,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.4722222222222222,0.5833333333333334,0.05,20.682270813893076,20.68227081389308,5.178337706491961,0.7537824903107967,1.0,0.3780841392444895,0.6696002468061086,1.7731669816927342
harmonic,iqp_d3,iqp,5,2,0.5833333333333334,0.0,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.4722222222222222,0.5833333333333334,0.05,22.71539060961923,22.715390609619238,5.302397806098088,0.7295786832188187,1.0,0.3541841826865423,0.6719337261952172,1.5386260367102564
harmonic,var_d2_e1,variational,5,2,0.5,-0.08333333333333337,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.4722222222222222,0.5833333333333334,0.05,7.857408153046945,7.8574081530469435,4.190940046290002,0.9064594267494411,1.0,0.556385175733437,0.8134242226158429,2.3914372644540243
harmonic,var_d2_e03,variational,5,2,0.3333333333333333,-0.25000000000000006,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.4722222222222222,0.5833333333333334,0.05,5.910576181080689,5.91057618108069,3.820377073949426,0.9296359978442775,1.0,0.607665454738371,0.8473796211846014,2.4723235520442612
harmonic,var_d3_e1,variational,5,2,0.5833333333333334,0.0,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.4722222222222222,0.5833333333333334,0.05,11.587539816551935,11.587539816551926,4.635085922188566,0.8620530974220008,1.0,0.46019190356413486,0.8051262010809527,2.0823412687845217
harmonic,highd_d2_f15,high_dim,5,2,0.4444444444444444,-0.13888888888888895,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.4722222222222222,0.5833333333333334,0.05,46.61215277384096,46.61215277384095,5.940437672518154,0.4450934193590361,1.0,0.21712923624832567,0.6035645526847185,0.8119468375497229
harmonic,highd_d2_f30,high_dim,5,2,0.4722222222222222,-0.11111111111111116,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.4722222222222222,0.5833333333333334,0.05,56.56091671164512,56.560916711645135,6.085910774238132,0.3266557534327962,1.0,0.17177906430575546,0.5809105433530958,0.6780696177116945
harmonic,highd_d3_f15,high_dim,5,2,0.4444444444444444,-0.13888888888888895,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.4722222222222222,0.5833333333333334,0.05,46.612152773840954,46.61215277384097,5.940437672518154,0.44509341935903624,1.0,0.21712923624832553,0.6035645526847181,0.811946837549723
periodic_coupled,angle_d1,angle,5,0,0.4722222222222222,0.0,0.4722222222222222,0.4722222222222222,0.4166666666666667,0.4444444444444444,0.4722222222222222,0.05,10.09663842284534,10.096638422845336,4.147239757103928,0.8798019235375555,0.9642857142857143,0.5731895437207487,0.714279192312934,3.924050228429127
periodic_coupled,angle_d2,angle,5,0,0.4722222222222222,0.0,0.4722222222222222,0.4722222222222222,0.4166666666666667,0.4444444444444444,0.4722222222222222,0.05,10.09663842284534,10.096638422845336,4.147239757103928,0.8798019235375555,0.9642857142857143,0.5731895437207487,0.714279192312934,3.924050228429127
periodic_coupled,angle_d3,angle,5,0,0.4722222222222222,0.0,0.4722222222222222,0.4722222222222222,0.4166666666666667,0.4444444444444444,0.4722222222222222,0.05,10.09663842284534,10.096638422845336,4.147239757103928,0.8798019235375555,0.9642857142857143,0.5731895437207487,0.714279192312934,3.924050228429127
periodic_coupled,iqp_d1,iqp,5,0,0.4722222222222222,0.0,0.4722222222222222,0.4722222222222222,0.4166666666666667,0.4444444444444444,0.4722222222222222,0.05,17.809458066989368,17.80945806698937,5.018645189560968,0.7879826420596504,1.0,0.4072205221389417,0.7173165566903018,1.8768891715363816
periodic_coupled,iqp_d2,iqp,5,0,0.6388888888888888,0.16666666666666663,0.4722222222222222,0.4722222222222222,0.4166666666666667,0.4444444444444444,0.4722222222222222,0.05,18.44072232549998,18.44072232549999,5.1061159191588015,0.7804675913630955,1.0,0.39381038026823656,0.7281041525818893,1.7266514085394205
periodic_coupled,iqp_d3,iqp,5,0,0.5555555555555556,0.08333333333333337,0.4722222222222222,0.4722222222222222,0.4166666666666667,0.4444444444444444,0.4722222222222222,0.05,23.359388177551928,23.35938817755193,5.324214297692017,0.7219120455053342,1.0,0.3451144746030432,0.7207800117388461,1.4626746041193466
periodic_coupled,var_d2_e1,variational,5,0,0.4722222222222222,0.0,0.4722222222222222,0.4722222222222222,0.4166666666666667,0.4444444444444444,0.4722222222222222,0.05,7.463732353918718,7.4637323539187195,4.1196302903095825,0.9111460434057296,1.0,0.5775752139858054,0.8021353278950291,2.3823043986833072
periodic_coupled,var_d2_e03,variational,5,0,0.5,0.02777777777777779,0.4722222222222222,0.4722222222222222,0.4166666666666667,0.4444444444444444,0.4722222222222222,0.05,5.2162751767667315,5.216275176766732,3.6772045273044824,0.9379014859908722,1.0,0.6386133352085714,0.8567307461745929,2.577178947989961
periodic_coupled,var_d3_e1,variational,5,0,0.5,0.02777777777777779,0.4722222222222222,0.4722222222222222,0.4166666666666667,0.4444444444444444,0.4722222222222222,0.05,11.208026014969255,11.208026014969251,4.592231872048582,0.8665711188694136,1.0,0.47703052046206273,0.7945945408818446,2.033640250430878
periodic_coupled,highd_d2_f15,high_dim,5,0,0.4722222222222222,0.0,0.4722222222222222,0.4722222222222222,0.4166666666666667,0.4444444444444444,0.4722222222222222,0.05,46.2723404487568,46.272340448756786,5.946760225687849,0.4491388041814667,1.0,0.22097221224548758,0.5852537080036812,0.7945749309120262
periodic_coupled,highd_d2_f30,high_dim,5,0,0.3888888888888889,-0.08333333333333331,0.4722222222222222,0.4722222222222222,0.4166666666666667,0.4444444444444444,0.4722222222222222,0.05,56.56777394518012,56.5677739451801,6.097847071013832,0.32657411970023664,1.0,0.17389377805576559,0.5803632115558116,0.6538014001550254
periodic_coupled,highd_d3_f15,high_dim,5,0,0.4722222222222222,0.0,0.4722222222222222,0.4722222222222222,0.4166666666666667,0.4444444444444444,0.4722222222222222,0.05,46.27234044875682,46.272340448756815,5.946760225687847,0.44913880418146646,1.0,0.2209722122454875,0.5852537080036814,0.7945749309120264
periodic_coupled,angle_d1,angle,5,1,0.5833333333333334,0.08333333333333337,0.5,0.4722222222222222,0.4722222222222222,0.5,0.5,0.05,8.376931730667835,8.376931730667838,3.9434515155879124,0.9002746222539544,0.9642857142857143,0.622230173011982,0.7527557492955288,4.229686344900623
periodic_coupled,angle_d2,angle,5,1,0.5833333333333334,0.08333333333333337,0.5,0.4722222222222222,0.4722222222222222,0.5,0.5,0.05,8.376931730667835,8.376931730667838,3.9434515155879124,0.9002746222539544,0.9642857142857143,0.622230173011982,0.7527557492955288,4.229686344900623
periodic_coupled,angle_d3,angle,5,1,0.5833333333333334,0.08333333333333337,0.5,0.4722222222222222,0.4722222222222222,0.5,0.5,0.05,8.376931730667835,8.376931730667838,3.9434515155879124,0.9002746222539544,0.9642857142857143,0.622230173011982,0.7527557492955288,4.229686344900623
periodic_coupled,iqp_d1,iqp,5,1,0.4166666666666667,-0.08333333333333331,0.5,0.4722222222222222,0.4722222222222222,0.5,0.5,0.05,14.15114790801956,14.151147908019563,4.828333485221389,0.8315339534759576,1.0,0.4466358825313873,0.7351419352286757,2.0639490059528276
periodic_coupled,iqp_d2,iqp,5,1,0.3888888888888889,-0.1111111111111111,0.5,0.4722222222222222,0.4722222222222222,0.5,0.5,0.05,18.848132105526247,18.848132105526254,5.102160009881024,0.7756174749342113,1.0,0.3958222440322883,0.6958208329328721,1.7991630930715505
periodic_coupled,iqp_d3,iqp,5,1,0.4166666666666667,-0.08333333333333331,0.5,0.4722222222222222,0.4722222222222222,0.5,0.5,0.05,21.49844435949962,21.49844435949963,5.281115462929376,0.7440661385773855,1.0,0.3573014649780674,0.6976410902759848,1.5528904927218465
