knob,fm_label,value,depth,seed,effective_rank,participation_ratio,spectral_entropy,concentration_index,rank_ratio,top5_energy,gap_ratio,power_law_exponent,rff_error,feature_map
freq_scale,high_dim,0.5,1,0,16.964347254546045,16.96434725454604,4.986914964091489,0.7879456593181744,1.0,0.43380071025516054,0.6847385176842199,1.5355702400992643,0.8115672741974761,high_dim
freq_scale,high_dim,0.5,1,1,16.964347254546045,16.96434725454604,4.986914964091489,0.7879456593181744,1.0,0.43380071025516054,0.6847385176842199,1.5355702400992643,0.8116814944238053,high_dim
freq_scale,high_dim,0.5,1,2,16.964347254546045,16.96434725454604,4.986914964091489,0.7879456593181744,1.0,0.43380071025516054,0.6847385176842199,1.5355702400992643,0.8607562404095428,high_dim
freq_scale,high_dim,0.5,2,0,16.964347254546045,16.964347254546045,4.986914964091488,0.7879456593181744,1.0,0.4338007102551606,0.6847385176842199,1.5355702400992652,0.8115672741974761,high_dim
freq_scale,high_dim,0.5,2,1,16.964347254546045,16.964347254546045,4.986914964091488,0.7879456593181744,1.0,0.4338007102551606,0.6847385176842199,1.5355702400992652,0.8116814944238053,high_dim
freq_scale,high_dim,0.5,2,2,16.964347254546045,16.964347254546045,4.986914964091488,0.7879456593181744,1.0,0.4338007102551606,0.6847385176842199,1.5355702400992652,0.8607562404095428,high_dim
freq_scale,high_dim,0.5,3,0,16.964347254546052,16.964347254546052,4.986914964091489,0.7879456593181744,1.0,0.4338007102551605,0.6847385176842198,1.5355702400992624,0.8115672741974761,high_dim
freq_scale,high_dim,0.5,3,1,16.964347254546052,16.964347254546052,4.986914964091489,0.7879456593181744,1.0,0.4338007102551605,0.6847385176842198,1.5355702400992624,0.8116814944238053,high_dim
freq_scale,high_dim,0.5,3,2,16.964347254546052,16.964347254546052,4.986914964091489,0.7879456593181744,1.0,0.4338007102551605,0.6847385176842198,1.5355702400992624,0.8607562404095428,high_dim
freq_scale,high_dim,1.0,1,0,36.11279727486419,36.11279727486419,5.715914172178442,0.5485900340641976,1.0,0.270828213256188,0.6399586796125272,0.9361481805354823,1.185266547529725,high_dim
freq_scale,high_dim,1.0,1,1,36.11279727486419,36.11279727486419,5.715914172178442,0.5485900340641976,1.0,0.270828213256188,0.6399586796125272,0.9361481805354823,1.3254359741780857,high_dim
freq_scale,high_dim,1.0,1,2,36.11279727486419,36.11279727486419,5.715914172178442,0.5485900340641976,1.0,0.270828213256188,0.6399586796125272,0.9361481805354823,1.166796860614598,high_dim
freq_scale,high_dim,1.0,2,0,36.11279727486419,36.11279727486419,5.715914172178443,0.5485900340641976,1.0,0.27082821325618794,0.6399586796125276,0.9361481805354818,1.1852665475297248,high_dim
freq_scale,high_dim,1.0,2,1,36.11279727486419,36.11279727486419,5.715914172178443,0.5485900340641976,1.0,0.27082821325618794,0.6399586796125276,0.9361481805354818,1.3254359741780857,high_dim
