criterion,rho,p
effective_rank,-0.021053930523463268,0.7583357549057537
spectral_entropy,-0.05222397190789051,0.44510556031825677
concentration_index,0.021053930523463268,0.7583357549057537
gap_ratio,-0.02289402316141755,0.7379543613592661
top5_energy,0.06962812029342184,0.30838379267168664
