knob,fm,n,rho_rank_vs_knob,p_rank,rho_rff_vs_knob,p_rff
freq_scale,high_dim,45,0.9846214265799983,3.22013144280411e-34,0.8836071539653101,9.193020054813458e-16
entangle,variational,45,0.09315942613970248,0.5427413831185053,-0.0436334788736172,0.7759497511551661
depth,angle,9,,,0.0,1.0
depth,iqp,15,0.4000000000000001,0.13959512937214438,0.774673510337773,0.0006955821023620977
