fm,p_dep,seed,acc_quantum,best_classical,quantum_advantage,rff_error,effective_rank,participation_ratio,spectral_entropy,concentration_index,rank_ratio,top5_energy,gap_ratio,power_law_exponent
angle,0.0,0,0.6,0.5666666666666667,0.033333333333333326,0.5808025533571956,9.077852016187144,9.077852016187144,4.018000643978434,0.8703163997687551,1.0,0.6027125799651719,0.7096800801463068,3.5219708366537152
angle,0.0,1,0.5666666666666667,0.5666666666666667,0.0,0.36252842624018694,6.76923299467351,6.769232994673511,3.643123141818582,0.9032966715046642,1.0,0.6849704696004827,0.7416990352548273,4.037382352145435
angle,0.0,2,0.6,0.5666666666666667,0.033333333333333326,0.5850483615512603,9.682905284662327,9.682905284662322,4.046379118119593,0.861672781647681,1.0,0.5883895475197387,0.7169985665475344,3.4476641399636936
angle,0.02,0,0.6,0.5666666666666667,0.033333333333333326,0.5808025533571956,9.077852016187144,9.077852016187144,4.018000643978434,0.8703163997687551,1.0,0.6027125799651719,0.7096800801463068,3.5219708366537152
angle,0.02,1,0.5666666666666667,0.5666666666666667,0.0,0.36252842624018694,6.76923299467351,6.769232994673511,3.643123141818582,0.9032966715046642,1.0,0.6849704696004827,0.7416990352548273,4.037382352145435
angle,0.02,2,0.6,0.5666666666666667,0.033333333333333326,0.5850483615512603,9.682905284662327,9.682905284662322,4.046379118119593,0.861672781647681,1.0,0.5883895475197387,0.7169985665475344,3.4476641399636936
angle,0.1,0,0.6,0.5666666666666667,0.033333333333333326,0.5808025533571956,9.077852016187144,9.077852016187144,4.018000643978434,0.8703163997687551,1.0,0.6027125799651719,0.7096800801463068,3.5219708366537152
angle,0.1,1,0.5666666666666667,0.5666666666666667,0.0,0.36252842624018694,6.76923299467351,6.769232994673511,3.643123141818582,0.9032966715046642,1.0,0.6849704696004827,0.7416990352548273,4.037382352145435
angle,0.1,2,0.6,0.5666666666666667,0.033333333333333326,0.5850483615512603,9.682905284662327,9.682905284662322,4.046379118119593,0.861672781647681,1.0,0.5883895475197387,0.7169985665475344,3.4476641399636936
angle,0.3,0,0.6,0.5666666666666667,0.033333333333333326,0.5808025533571956,9.077852016187144,9.077852016187144,4.018000643978434,0.8703163997687551,1.0,0.6027125799651719,0.7096800801463068,3.5219708366537152
angle,0.3,1,0.5666666666666667,0.5666666666666667,0.0,0.36252842624018694,6.76923299467351,6.769232994673511,3.643123141818582,0.9032966715046642,1.0,0.6849704696004827,0.7416990352548273,4.037382352145435
angle,0.3,2,0.6,0.5666666666666667,0.033333333333333326,0.5850483615512603,9.682905284662327,9.682905284662322,4.046379118119593,0.861672781647681,1.0,0.5883895475197387,0.7169985665475344,3.4476641399636936
iqp,0.0,0,0.4666666666666667,0.5666666666666667,-0.09999999999999998,0.7615522636184514,21.098301826650232,21.098301826650236,5.150390644393012,0.6985956881907109,1.0,0.36699775250256367,0.7139088275706272,1.4257136258453122
iqp,0.0,1,0.5,0.5666666666666667,-0.06666666666666665,0.869080756044318,17.26447209311083,17.26447209311084,4.951188733869871,0.7533646843841311,1.0,0.4057357999747315,0.6820739450638956,1.6361396144507903
iqp,0.0,2,0.36666666666666664,0.5666666666666667,-0.2,0.9474838121762265,22.72993211103932,22.72993211103933,5.1321931675792225,0.6752866841280096,1.0,0.3613876458619965,0.6519199651250568,1.6475809929700163
iqp,0.02,0,0.5,0.5666666666666667,-0.06666666666666665,0.8057003920453601,20.920528571360588,20.92052857136057,5.145300755027394,0.7011353061234202,1.0,0.3684807622584365,0.716188910778176,1.4268816859331186
iqp,0.02,1,0.5,0.5666666666666667,-0.06666666666666665,0.9390012044549768,17.12802901440606,17.128029014406064,4.946068750766789,0.7553138712227706,1.0,0.4071333769100979,0.6838407784489764,1.6371866372427393
iqp,0.02,2,0.36666666666666664,0.5666666666666667,-0.2,0.9991351297019454,22.525868948869356,22.525868948869366,5.127168875564593,0.6782018721590093,1.0,0.3627098616543585,0.6555302892175564,1.6487447125430672
iqp,0.1,0,0.5,0.5666666666666667,-0.06666666666666665,1.1015041737939213,19.981728047350906,19.9817280473509,5.117781518805988,0.7145467421807014,1.0,0.37627896704886715,0.7277195504926258,1.4327216887484218
iqp,0.1,1,0.5333333333333333,0.5666666666666667,-0.033333333333333326,1.3522971511534705,16.413857649488243,16.413857649488246,4.918577723402721,0.7655163192930251,1.0,0.41450818585734517,0.6931193760093494,1.6424654089959232
iqp,0.1,2,0.4,0.5666666666666667,-0.16666666666666663,1.3154558388610387,21.45064997089721,21.4506499708972,5.099991685698329,0.693562143272897,1.0,0.36977329991761887,0.6736526789485701,1.6545789019759118
iqp,0.3,0,0.6,0.5666666666666667,0.033333333333333326,2.8905933124410925,14.8112572734573,14.811257273457295,4.934434498431448,0.7884106103791815,1.0,0.42136182260568406,0.7695993636782047,1.4607722972638213
iqp,0.3,1,0.5,0.5666666666666667,-0.06666666666666665,3.6079450267851487,12.532187230345638,12.532187230345636,4.739177263036111,0.8209687538522051,1.0,0.4571449357982639,0.7453353320395715,1.667922056581499
iqp,0.3,2,0.5,0.5666666666666667,-0.06666666666666665,3.119327280111101,15.622805942217754,15.62280594221776,4.918571107593974,0.7768170579683178,1.0,0.4131185558344357,0.7565602702909198,1.681914950985077
variational,0.0,0,0.5666666666666667,0.5666666666666667,0.0,0.7590603701384034,6.66814304120413,6.668143041204124,3.969202361766944,0.9047408136970838,1.0,0.5953578701639812,0.826374169325243,2.2535041833397784
variational,0.0,1,0.43333333333333335,0.5666666666666667,-0.1333333333333333,0.560493067733475,5.029708429353121,5.029708429353121,3.5785608329946967,0.9281470224378126,1.0,0.6642800773571494,0.8488433654710684,2.5493922114755376
variational,0.0,2,0.4666666666666667,0.5666666666666667,-0.09999999999999998,0.8009565348258963,7.879735797832304,7.879735797832306,4.076449090054257,0.8874323457452528,1.0,0.5840252979103808,0.7910654891281693,2.1964541966328324
variational,0.02,0,0.5333333333333333,0.5666666666666667,-0.033333333333333326,0.7593528259012143,6.631128492999173,6.631128492999181,3.9640297914469387,0.9052695929571547,1.0,0.5961542748316707,0.8272210032106474,2.2540890820713884
variational,0.02,1,0.43333333333333335,0.5666666666666667,-0.1333333333333333,0.552844418631172,5.006909220187799,5.0069092201878,3.573752169083919,0.9284727254258885,1.0,0.6648704629146869,0.8494996546272299,2.5499283740131005
variational,0.02,2,0.4666666666666667,0.5666666666666667,-0.09999999999999998,0.8082175127601614,7.8303876916130815,7.830387691613083,4.071172702413016,0.8881373186912417,1.0,0.5848849995538394,0.792207860790923,2.1970478881085773
variational,0.1,0,0.5666666666666667,0.5666666666666667,0.0,0.808618175794391,6.442251140870279,6.442251140870276,3.9368669492645436,0.9079678408447103,1.0,0.6003498810575477,0.831536772733461,2.2570810179386562
variational,0.1,1,0.43333333333333335,0.5666666666666667,-0.1333333333333333,0.6043823747380819,4.89045494491078,4.890454944910782,3.5485623179274626,0.9301363579298461,1.0,0.6679728507848605,0.8528501034331356,2.5526635747414
variational,0.1,2,0.43333333333333335,0.5666666666666667,-0.1333333333333333,0.8942506286878965,7.57890727751252,7.578907277512519,4.043474600437861,0.8917298960355354,1.0,0.5893943951029702,0.7980171935776764,2.2000777176777286
variational,0.3,0,0.6,0.5666666666666667,0.033333333333333326,1.7006987993217233,5.468260297096504,5.468260297096504,3.7730928686804766,0.9218819957557642,1.0,0.6258257184628573,0.8538552799331194,2.272837854328955
variational,0.3,1,0.5,0.5666666666666667,-0.06666666666666665,1.8171839771369043,4.283097398105392,4.2830973981053875,3.398164821431978,0.9388128943127801,1.0,0.6868429466106843,0.8703929461007466,2.5671061750025346
variational,0.3,2,0.5,0.5666666666666667,-0.06666666666666665,1.9047769812523645,6.296109504838692,6.296109504838696,3.8765797180327413,0.9100555785023043,1.0,0.6161873510126784,0.8276760350272953,2.2158994018509315
