task,n_qubits,fm,N,seed,acc_quantum,best_classical,quantum_advantage,rff_error,effective_rank,participation_ratio,spectral_entropy,concentration_index,rank_ratio,top5_energy,gap_ratio,power_law_exponent
noisy_harmonic,16,angle,250,0,0.5866666666666667,0.64,-0.053333333333333344,0.5245384130288973,8.587274053704794,8.587274053704803,4.0517602209632155,0.9509298625502584,0.46285714285714286,0.6166899177825215,0.7398758555307302,3.0337240596836863
noisy_harmonic,16,angle,250,1,0.5733333333333334,0.6933333333333334,-0.12,0.42713853909853244,9.727130014098512,9.727130014098517,4.22697692378365,0.944416399919437,0.46285714285714286,0.5828578040046696,0.7433520075107514,2.8579621395247785
noisy_harmonic,16,angle,250,2,0.6266666666666667,0.6933333333333334,-0.06666666666666665,0.5813828715673356,10.536868313946234,10.536868313946238,4.291008947797342,0.9397893239203072,0.46285714285714286,0.5592282998808674,0.7298178923272586,2.852310502004128
noisy_harmonic,16,iqp,250,0,0.6133333333333333,0.64,-0.026666666666666727,0.8354919785858378,18.595802888234292,18.595802888234296,5.362436441921409,0.8937382692100897,1.0,0.39580316853229686,0.7166102563036709,2.9376490550379035
noisy_harmonic,16,iqp,250,1,0.64,0.6933333333333334,-0.053333333333333344,0.9568490277141171,22.477071290132265,22.477071290132262,5.57820608900391,0.8715595926278157,1.0,0.34844575963226315,0.6867755158595701,2.5987939792843178
noisy_harmonic,16,iqp,250,2,0.5066666666666667,0.6933333333333334,-0.18666666666666665,0.9756157151877665,23.366509379384002,23.36650937938399,5.554977915348664,0.8664770892606628,1.0,0.3561732005587849,0.6681990815540367,2.726507400563941
noisy_harmonic,16,variational,250,0,0.5066666666666667,0.64,-0.1333333333333333,0.7209455381042235,6.671454938943933,6.671454938943929,4.111551310652479,0.9618774003488918,1.0,0.5941866904068015,0.8379978064441918,3.7980165112837296
noisy_harmonic,16,variational,250,1,0.5066666666666667,0.6933333333333334,-0.18666666666666665,0.6668921005123609,7.223652181300128,7.223652181300128,4.290775740868114,0.9587219875354278,1.0,0.5596265019583445,0.8448227791407533,3.586286318025844
noisy_harmonic,16,variational,250,2,0.52,0.6933333333333334,-0.17333333333333334,0.7673040747028713,8.13717949294338,8.137179492943384,4.374358936816873,0.953501831468895,1.0,0.543935776214571,0.8320394118539715,3.496356267598776
noisy_harmonic,16,high_dim,250,0,0.5066666666666667,0.64,-0.1333333333333333,2.988641086466235,174.9055954169643,174.9055954169643,7.450819761897512,0.0005394547602040056,1.0,0.03055388376700732,0.5287726026475142,0.013944398716670666
noisy_harmonic,16,high_dim,250,1,0.5466666666666666,0.6933333333333334,-0.14666666666666672,3.2849835726487093,174.97179330489718,174.97179330489718,7.451094765109559,0.0001611811148732878,1.0,0.029857696126371614,0.500693806387311,0.00940936815221417
noisy_harmonic,16,high_dim,250,2,0.4,0.6933333333333334,-0.29333333333333333,2.7267495902790677,174.9824883610104,174.9824883610104,7.4511389431454935,0.00010006650851190901,1.0,0.029549858494486818,0.5007975364090886,0.008904594263016246
cross_high,16,angle,250,0,0.8666666666666667,0.7866666666666666,0.08000000000000007,0.5245384130288973,8.587274053704794,8.587274053704803,4.0517602209632155,0.9509298625502584,0.46285714285714286,0.6166899177825215,0.7398758555307302,3.0337240596836863
cross_high,16,angle,250,1,0.8666666666666667,0.8266666666666667,0.040000000000000036,0.42713853909853244,9.727130014098512,9.727130014098517,4.22697692378365,0.944416399919437,0.46285714285714286,0.5828578040046696,0.7433520075107514,2.8579621395247785
cross_high,16,angle,250,2,0.8266666666666667,0.8,0.026666666666666616,0.5813828715673356,10.536868313946234,10.536868313946238,4.291008947797342,0.9397893239203072,0.46285714285714286,0.5592282998808674,0.7298178923272586,2.852310502004128
cross_high,16,iqp,250,0,0.64,0.7866666666666666,-0.1466666666666666,0.8354919785858378,18.595802888234292,18.595802888234296,5.362436441921409,0.8937382692100897,1.0,0.39580316853229686,0.7166102563036709,2.9376490550379035
cross_high,16,iqp,250,1,0.56,0.8266666666666667,-0.2666666666666666,0.9568490277141171,22.477071290132265,22.477071290132262,5.57820608900391,0.8715595926278157,1.0,0.34844575963226315,0.6867755158595701,2.5987939792843178
cross_high,16,iqp,250,2,0.56,0.8,-0.24,0.9756157151877665,23.366509379384002,23.36650937938399,5.554977915348664,0.8664770892606628,1.0,0.3561732005587849,0.6681990815540367,2.726507400563941
cross_high,16,variational,250,0,0.6,0.7866666666666666,-0.18666666666666665,0.7209455381042235,6.671454938943933,6.671454938943929,4.111551310652479,0.9618774003488918,1.0,0.5941866904068015,0.8379978064441918,3.7980165112837296
cross_high,16,variational,250,1,0.56,0.8266666666666667,-0.2666666666666666,0.6668921005123609,7.223652181300128,7.223652181300128,4.290775740868114,0.9587219875354278,1.0,0.5596265019583445,0.8448227791407533,3.586286318025844
cross_high,16,variational,250,2,0.6666666666666666,0.8,-0.13333333333333341,0.7673040747028713,8.13717949294338,8.137179492943384,4.374358936816873,0.953501831468895,1.0,0.543935776214571,0.8320394118539715,3.496356267598776
