config,fm,data_dist,seed,pca_eff_dim,effective_rank,participation_ratio,spectral_entropy,concentration_index,rank_ratio,top5_energy,gap_ratio,power_law_exponent
angle_d2,angle,gaussian,0,5,15.450356309314744,15.450356309314742,4.881835934988522,0.8454964369068525,1.0,0.4499186024310697,0.7247219302948132,2.2560103707656394
angle_d2,angle,clusters,0,3,6.984033544281361,6.984033544281358,3.301502689951855,0.9301596645571863,1.0,0.7594919202958388,0.6490098593803372,3.6841006345165663
angle_d2,angle,periodic,0,5,14.670672746495269,14.670672746495287,4.334297136509006,0.8532932725350473,1.0,0.47033085639996913,0.6401324794522536,2.933519695062472
angle_d2,angle,uniform,0,5,18.941276423044513,18.941276423044513,5.015463877458718,0.8105872357695548,1.0,0.41713289793567376,0.6590173830492803,2.0137389702968678
angle_d2,angle,heavy_tail,0,5,7.309909805132438,7.3099098051324365,4.018170814960311,0.9269009019486756,1.0,0.6149547357933329,0.7959299226425443,3.1242059962609265
angle_d2,angle,real_breast,0,5,11.928889179473016,11.928889179473016,4.557405235169324,0.8807111082052699,1.0,0.5222274228903231,0.7307021186411155,2.575977381823387
angle_d2,angle,gaussian,1,5,14.856480821704617,14.856480821704613,4.860970376853859,0.8514351917829538,1.0,0.45826378064222406,0.7290808739037057,2.281951077035719
angle_d2,angle,clusters,1,4,7.618113396762174,7.618113396762179,3.3312591141467593,0.9238188660323783,1.0,0.7378244950742121,0.5757869482989239,3.69448372715907
angle_d2,angle,periodic,1,5,13.314321192394782,13.314321192394782,4.240778969909975,0.8668567880760522,1.0,0.5014427736524325,0.6290996147367415,3.0526231686163308
angle_d2,angle,uniform,1,5,19.451557349654024,19.451557349654028,5.048575918370232,0.8054844265034597,1.0,0.41448156588041607,0.6651271871744876,1.9651349421484685
angle_d2,angle,heavy_tail,1,5,8.725265599208416,8.725265599208418,4.256641669972132,0.9127473440079158,1.0,0.5710351507324699,0.7688912820934862,2.981606018184947
angle_d2,angle,real_breast,1,5,10.71281036219692,10.71281036219692,4.511089843893917,0.8928718963780308,1.0,0.5249846915401715,0.7487954270158219,2.703066460381946
angle_d2,angle,gaussian,2,5,15.979079885740253,15.979079885740253,4.899453274666626,0.8402092011425975,1.0,0.4493626486735514,0.7236625292747535,2.222945448106558
angle_d2,angle,clusters,2,4,8.035822081615098,8.035822081615098,3.542414839379123,0.919641779183849,1.0,0.7250187637669491,0.5381502023081833,3.424950393424427
angle_d2,angle,periodic,2,5,13.13805092373494,13.138050923734943,4.233305050768764,0.8686194907626505,1.0,0.5304520741866674,0.5986509435169504,3.015080901877898
angle_d2,angle,uniform,2,5,19.176302274928382,19.176302274928375,5.021634951799642,0.8082369772507162,1.0,0.41494149395417623,0.6656742381561218,1.9624207054203981
angle_d2,angle,heavy_tail,2,5,7.784661451979962,7.784661451979957,4.0989705957956915,0.9221533854802004,1.0,0.6000263587033918,0.7865774361174719,3.103468927932324
angle_d2,angle,real_breast,2,5,10.291034072440162,10.291034072440157,4.438353347132151,0.8970896592755984,1.0,0.5434808399029184,0.7537567786485416,2.835888209723146
angle_d2,angle,gaussian,3,5,16.434542296382748,16.434542296382755,4.916431952925143,0.8356545770361725,1.0,0.4434115726178409,0.6963044879507237,2.2327502118567817
angle_d2,angle,clusters,3,4,8.05950044268591,8.059500442685911,3.6866989700060455,0.9194049955731409,1.0,0.6956056922284176,0.5808907369929769,3.2231847487008234
angle_d2,angle,periodic,3,5,11.891453573948958,11.891453573948954,4.086864393823491,0.8810854642605104,1.0,0.5660412399624394,0.5945161238313607,3.173009771259538
angle_d2,angle,uniform,3,5,18.970279223530426,18.970279223530426,4.992889307663369,0.8102972077646957,1.0,0.4199911351628313,0.6424043983354775,1.9877148683468246
angle_d2,angle,heavy_tail,3,5,9.893808917031048,9.893808917031043,4.388310757757143,0.9010619108296896,1.0,0.5302375568548732,0.7742967151874062,2.8608443757548208
angle_d2,angle,real_breast,3,5,10.013039281790672,10.013039281790679,4.418506893753654,0.8998696071820933,1.0,0.5619923297385877,0.7484128022955496,2.7218298962252976
iqp_d2,iqp,gaussian,0,5,37.97438163811314,37.974381638113144,5.956857008119847,0.6202561836188687,1.0,0.25349380548740125,0.6997696293892514,1.0226860758580014
iqp_d2,iqp,clusters,0,3,17.02338631077699,17.023386310776992,4.88059458033801,0.8297661368922301,1.0,0.44895541999197275,0.6387094094051435,2.186512667865654
iqp_d2,iqp,periodic,0,5,36.39460936839384,36.39460936839383,5.7301991864227855,0.6360539063160616,1.0,0.26184755093370327,0.6304324611329173,1.3829975753583295
iqp_d2,iqp,uniform,0,5,47.14072925876546,47.140729258765454,6.081942283028179,0.5285927074123453,1.0,0.21624107238187962,0.6791119698037613,0.9221153782683306
iqp_d2,iqp,heavy_tail,0,5,15.297606200594446,15.297606200594444,5.177445595598215,0.8470239379940555,1.0,0.4083327388157704,0.7644523577428218,1.6618057396017887
iqp_d2,iqp,real_breast,0,5,27.30760922041931,27.3076092204193,5.689886476874527,0.726923907795807,1.0,0.30736328005549096,0.7429964399404876,1.2787503221004435
iqp_d2,iqp,gaussian,1,5,37.846571042791226,37.84657104279123,5.914947807177311,0.6215342895720877,1.0,0.2588089830592461,0.6839415040160214,1.1177734048267745
iqp_d2,iqp,clusters,1,4,15.309651348442001,15.309651348442006,4.820970753804742,0.84690348651558,1.0,0.45220123049589234,0.6832999173122037,2.1541161178238033
iqp_d2,iqp,periodic,1,5,33.12472587906529,33.12472587906531,5.645687109503062,0.6687527412093471,1.0,0.28451324237050574,0.6456565325196575,1.4868303799420401
iqp_d2,iqp,uniform,1,5,53.12142876753129,53.12142876753127,6.163936177596937,0.46878571232468713,1.0,0.19542291371573567,0.6541840946901202,0.8557164019582306
iqp_d2,iqp,heavy_tail,1,5,19.409184969217097,19.409184969217105,5.445344988851321,0.805908150307829,1.0,0.3538699012145873,0.7918482722184745,1.4460994165519665
iqp_d2,iqp,real_breast,1,5,23.669836515956394,23.66983651595638,5.5878475820715945,0.763301634840436,1.0,0.3334970964880154,0.7600955989698154,1.408245620860162
iqp_d2,iqp,gaussian,2,5,42.50846841251789,42.50846841251789,6.020338659512046,0.574915315874821,1.0,0.23996905549788058,0.654017289742143,0.9610296707509469
iqp_d2,iqp,clusters,2,4,21.954082805515977,21.95408280551598,5.240544498071561,0.7804591719448403,1.0,0.39867172627585756,0.5661966813616265,1.7888362829524946
iqp_d2,iqp,periodic,2,5,34.28692248296247,34.28692248296248,5.662930501823751,0.6571307751703753,1.0,0.27857592266868414,0.6289277083582431,1.451705057053969
iqp_d2,iqp,uniform,2,5,49.983503561226506,49.983503561226506,6.12618557825744,0.500164964387735,1.0,0.20644701441809793,0.6641848881970188,0.8791365819725065
iqp_d2,iqp,heavy_tail,2,5,17.274979876119428,17.27497987611944,5.3021620799158775,0.8272502012388057,1.0,0.3878047891998474,0.7647239653078582,1.5802375287835169
iqp_d2,iqp,real_breast,2,5,23.587419313027656,23.587419313027656,5.551712894659594,0.7641258068697234,1.0,0.3350237118442698,0.7508843428756552,1.4776842829299264
iqp_d2,iqp,gaussian,3,5,41.04658314598105,41.04658314598108,5.99406926526585,0.5895341685401895,1.0,0.2440716955292403,0.6077542525657899,1.013250135006326
iqp_d2,iqp,clusters,3,4,25.6863568196324,25.68635681963241,5.420113193265137,0.743136431803676,1.0,0.3436205786454267,0.622886226808412,1.5946527741768766
iqp_d2,iqp,periodic,3,5,30.06097945714054,30.060979457140554,5.537562322022311,0.6993902054285945,1.0,0.30483975263497576,0.616730724483346,1.5097966060624177
iqp_d2,iqp,uniform,3,5,52.49126584715303,52.49126584715303,6.166114253375758,0.47508734152846965,1.0,0.1931305907933112,0.6713518988181997,0.8386771457579175
iqp_d2,iqp,heavy_tail,3,5,21.674708788918146,21.674708788918156,5.517596975288426,0.7832529121108185,1.0,0.3438942715022014,0.7270021190795241,1.4454313173290976
iqp_d2,iqp,real_breast,3,5,20.17419909030922,20.174199090309227,5.485491692028343,0.7982580090969078,1.0,0.3511461613612329,0.7940839310081649,1.442950520581937
var_d2_e1,variational,gaussian,0,5,11.984300487098587,11.984300487098583,4.904933303115665,0.8801569951290141,1.0,0.4495091401728301,0.8096633616694698,1.7066933429078621
var_d2_e1,variational,clusters,0,3,7.152427900666171,7.152427900666171,3.605875142068587,0.9284757209933383,1.0,0.6957664963525102,0.7005796092170113,2.9169182365538426
var_d2_e1,variational,periodic,0,5,11.2191353278839,11.219135327883897,4.398121910853042,0.887808646721161,1.0,0.5212576052902828,0.7355331307552895,2.3570997572420684
var_d2_e1,variational,uniform,0,5,13.810840871531742,13.810840871531745,4.974162661525877,0.8618915912846826,1.0,0.4428674524899621,0.7779584978403437,1.5883288597604315
var_d2_e1,variational,heavy_tail,0,5,6.000910587253777,6.000910587253777,4.090847119966506,0.9399908941274622,1.0,0.5701788302546948,0.8815198646703494,2.271487300633209
var_d2_e1,variational,real_breast,0,5,10.384268411844756,10.384268411844756,4.674754194434833,0.8961573158815525,1.0,0.49098384305864146,0.7983962959503883,1.9220327784134161
var_d2_e1,variational,gaussian,1,5,11.700958698981616,11.700958698981614,4.882858447260882,0.8829904130101839,1.0,0.4576711662155419,0.8165781901688993,1.7199501918549027
var_d2_e1,variational,clusters,1,4,7.249602296064681,7.249602296064685,3.560577060630913,0.9275039770393532,1.0,0.7136186489817368,0.6769048081615835,3.0145329995565486
var_d2_e1,variational,periodic,1,5,10.689393932832004,10.689393932832003,4.350716890583423,0.89310606067168,1.0,0.5275935034466076,0.7488844038159286,2.4044158632862485
var_d2_e1,variational,uniform,1,5,14.580630084246247,14.580630084246245,5.004355100885372,0.8541936991575375,1.0,0.43444794655342045,0.7691721087324199,1.5969550257745928
var_d2_e1,variational,heavy_tail,1,5,6.9321121682658235,6.932112168265824,4.270507998291131,0.9306788783173418,1.0,0.5506790057003084,0.8593580326042933,2.1331802867176783
var_d2_e1,variational,real_breast,1,5,9.937122611563614,9.937122611563618,4.695444987903211,0.9006287738843639,1.0,0.4846102277740001,0.8239781883312832,1.9752385391984149
var_d2_e1,variational,gaussian,2,5,12.206908088871748,12.206908088871744,4.909842486176554,0.8779309191112825,1.0,0.4404571738864206,0.816061790866557,1.681768551811438
var_d2_e1,variational,clusters,2,4,8.344855071171034,8.344855071171033,3.9390666061857273,0.9165514492882897,1.0,0.6362460459447747,0.715300478234357,2.701514988514469
var_d2_e1,variational,periodic,2,5,10.012310241560499,10.012310241560495,4.30476877457641,0.899876897584395,1.0,0.541909626351315,0.7449062357060645,2.3696466342326423
var_d2_e1,variational,uniform,2,5,13.553274068815703,13.553274068815698,4.945218396895873,0.864467259311843,1.0,0.4534240040484868,0.7600242114773422,1.6101043670543798
