task,n_qubits,fm,N,seed,acc_quantum,best_classical,quantum_advantage,rff_error,effective_rank,participation_ratio,spectral_entropy,concentration_index,rank_ratio,top5_energy,gap_ratio,power_law_exponent
noisy_harmonic,8,angle,250,0,0.5866666666666667,0.64,-0.053333333333333344,0.5245384130288973,8.587274053704794,8.587274053704803,4.0517602209632155,0.9509298625502584,0.46285714285714286,0.6166899177825215,0.7398758555307302,3.0337240596836863
noisy_harmonic,8,angle,250,1,0.5733333333333334,0.6933333333333334,-0.12,0.42713853909853244,9.727130014098512,9.727130014098517,4.22697692378365,0.944416399919437,0.46285714285714286,0.5828578040046696,0.7433520075107514,2.8579621395247785
noisy_harmonic,8,angle,250,2,0.6266666666666667,0.6933333333333334,-0.06666666666666665,0.5813828715673356,10.536868313946234,10.536868313946238,4.291008947797342,0.9397893239203072,0.46285714285714286,0.5592282998808674,0.7298178923272586,2.852310502004128
noisy_harmonic,8,iqp,250,0,0.6133333333333333,0.64,-0.026666666666666727,0.835491978585837,18.59580288823416,18.595802888234154,5.3624364419213855,0.8937382692100905,1.0,0.39580316853229836,0.716610256303671,2.937649055143342
noisy_harmonic,8,iqp,250,1,0.64,0.6933333333333334,-0.053333333333333344,0.956849027714116,22.477071290132105,22.477071290132105,5.578206089003884,0.8715595926278166,1.0,0.3484457596322646,0.6867755158595699,2.598793979290477
noisy_harmonic,8,iqp,250,2,0.5066666666666667,0.6933333333333334,-0.18666666666666665,0.9756157151877661,23.36650937938378,23.36650937938377,5.554977915348637,0.8664770892606641,1.0,0.3561732005587866,0.6681990815540373,2.726507400561382
noisy_harmonic,8,variational,250,0,0.5066666666666667,0.64,-0.1333333333333333,0.7209455381042235,6.671454938943933,6.671454938943929,4.111551310652479,0.9618774003488918,1.0,0.5941866904068015,0.8379978064441918,3.7980165112837296
noisy_harmonic,8,variational,250,1,0.5066666666666667,0.6933333333333334,-0.18666666666666665,0.6668921005123609,7.223652181300128,7.223652181300128,4.290775740868114,0.9587219875354278,1.0,0.5596265019583445,0.8448227791407533,3.586286318025844
noisy_harmonic,8,variational,250,2,0.52,0.6933333333333334,-0.17333333333333334,0.7673040747028713,8.13717949294338,8.137179492943384,4.374358936816873,0.953501831468895,1.0,0.543935776214571,0.8320394118539715,3.496356267598776
noisy_harmonic,8,high_dim,250,0,0.6,0.64,-0.040000000000000036,2.784321344155743,158.6570128412785,158.6570128412785,7.382779347176396,0.09338849804983718,1.0,0.05977025744484781,0.5265013147395458,0.29524233837233405
noisy_harmonic,8,high_dim,250,1,0.56,0.6933333333333334,-0.1333333333333333,3.0954915605269946,160.82496558785232,160.8249655878523,7.391709239815343,0.0810001966408439,1.0,0.056048018311380066,0.5355537023120487,0.2768266045108507
noisy_harmonic,8,high_dim,250,2,0.6133333333333333,0.6933333333333334,-0.08000000000000007,2.5314096686768797,157.19103083656762,157.19103083656762,7.374969659711466,0.10176553807675648,1.0,0.05988977449426909,0.5221924618334741,0.31211538025856755
noisy_harmonic,12,angle,250,0,0.5866666666666667,0.64,-0.053333333333333344,0.5245384130288973,8.587274053704794,8.587274053704803,4.0517602209632155,0.9509298625502584,0.46285714285714286,0.6166899177825215,0.7398758555307302,3.0337240596836863
noisy_harmonic,12,angle,250,1,0.5733333333333334,0.6933333333333334,-0.12,0.42713853909853244,9.727130014098512,9.727130014098517,4.22697692378365,0.944416399919437,0.46285714285714286,0.5828578040046696,0.7433520075107514,2.8579621395247785
