task,seed,variant,TA,adv,best_classical,rank_q,adv_resid
harmonic,0,angle_d1,0.044200150245349665,-0.2222222222222221,0.6388888888888888,8.732078436035222,-64.50000000000001
harmonic,0,angle_d2,0.044200150245349665,-0.2222222222222221,0.6388888888888888,8.732078436035222,-64.50000000000001
harmonic,0,angle_d3,0.044200150245349665,-0.2222222222222221,0.6388888888888888,8.732078436035222,-64.50000000000001
harmonic,0,iqp_d1,0.07280820853365322,-0.1388888888888888,0.6388888888888888,16.7972769974216,-39.000000000000014
harmonic,0,iqp_d2,0.08111928765258077,0.0,0.6388888888888888,19.68642450210604,66.99999999999999
harmonic,0,iqp_d3,0.08044995410347991,-0.111111111111111,0.6388888888888888,22.86333378609152,-29.000000000000014
harmonic,0,var_d2_e03,0.08737371002628974,-0.0555555555555554,0.6388888888888888,4.528162179689993,25.499999999999986
harmonic,0,var_d2_e1,0.09215047533704006,-0.0833333333333332,0.6388888888888888,6.417526660351464,-9.000000000000014
harmonic,0,var_d3_e1,0.066988331811937,-0.0277777777777776,0.6388888888888888,9.464238190417811,54.499999999999986
harmonic,0,highd_d2_f15,0.0884777307173277,-0.1666666666666666,0.6388888888888888,43.56337543025231,-53.000000000000014
harmonic,0,highd_d3_f15,0.0884777307173277,-0.1666666666666666,0.6388888888888888,43.56337543025232,-53.000000000000014
harmonic,0,highd_d2_f30,0.09792475238184299,-0.1944444444444444,0.6388888888888888,54.59850293884072,-61.000000000000014
harmonic,1,angle_d1,0.033899478904737206,-0.0555555555555555,0.5,8.473998123081843,-38.050208116545264
harmonic,1,angle_d2,0.033899478904737206,-0.0555555555555555,0.5,8.473998123081843,-38.050208116545264
harmonic,1,angle_d3,0.033899478904737206,-0.0555555555555555,0.5,8.473998123081843,-38.050208116545264
harmonic,1,iqp_d1,0.036400074480382405,-0.0555555555555555,0.5,14.239447402341703,-38.050208116545264
harmonic,1,iqp_d2,0.058837073316085745,-0.1111111111111111,0.5,18.783797168191388,-80.55020811654526
harmonic,1,iqp_d3,0.045951946538017374,-0.0555555555555555,0.5,20.59018055777617,-38.050208116545264
harmonic,1,var_d2_e03,0.041796971668648264,-0.0277777777777777,0.5,4.966315110928305,-5.050208116545264
harmonic,1,var_d2_e1,0.04764079993830617,-0.0277777777777777,0.5,6.43661022564975,-5.050208116545264
harmonic,1,var_d3_e1,0.047425224407015174,-0.0833333333333333,0.5,9.294279947752289,-68.05020811654526
