task,seed,variant,adv,best_classical,rank_q,rank_rbf,ent_rbf,M1,adv_resid
harmonic,0,angle_d1,-0.2222222222222221,0.6388888888888888,8.732078436035222,22.120675142060342,5.363352377423789,0.3947473745695949,-64.50000000000001
harmonic,0,angle_d2,-0.2222222222222221,0.6388888888888888,8.732078436035222,22.120675142060342,5.363352377423789,0.3947473745695949,-64.50000000000001
harmonic,0,angle_d3,-0.2222222222222221,0.6388888888888888,8.732078436035222,22.120675142060342,5.363352377423789,0.3947473745695949,-64.50000000000001
harmonic,0,iqp_d1,-0.1388888888888888,0.6388888888888888,16.7972769974216,22.120675142060342,5.363352377423789,0.7593473928597771,-39.000000000000014
harmonic,0,iqp_d2,0.0,0.6388888888888888,19.68642450210604,22.120675142060342,5.363352377423789,0.8899558614589566,66.99999999999999
harmonic,0,iqp_d3,-0.111111111111111,0.6388888888888888,22.86333378609152,22.120675142060342,5.363352377423789,1.03357305503841,-29.000000000000014
harmonic,0,var_d2_e1,-0.0833333333333332,0.6388888888888888,6.417526660351464,22.120675142060342,5.363352377423789,0.29011441193081633,-9.000000000000014
harmonic,0,var_d2_e03,-0.0555555555555554,0.6388888888888888,4.528162179689993,22.120675142060342,5.363352377423789,0.20470271140504778,25.499999999999986
harmonic,0,var_d3_e1,-0.0277777777777776,0.6388888888888888,9.464238190417811,22.120675142060342,5.363352377423789,0.4278458107466381,54.499999999999986
harmonic,0,highd_d2_f15,-0.1666666666666666,0.6388888888888888,43.56337543025231,22.120675142060342,5.363352377423789,1.9693510776902432,-53.000000000000014
harmonic,0,highd_d2_f30,-0.1944444444444444,0.6388888888888888,54.59850293884072,22.120675142060342,5.363352377423789,2.468211417065969,-61.000000000000014
harmonic,0,highd_d3_f15,-0.1666666666666666,0.6388888888888888,43.56337543025232,22.120675142060342,5.363352377423789,1.9693510776902439,-53.000000000000014
harmonic,1,angle_d1,-0.0555555555555555,0.5,8.473998123081843,15.77209304987921,4.991978278612082,0.5372779691498676,-38.050208116545264
harmonic,1,angle_d2,-0.0555555555555555,0.5,8.473998123081843,15.77209304987921,4.991978278612082,0.5372779691498676,-38.050208116545264
harmonic,1,angle_d3,-0.0555555555555555,0.5,8.473998123081843,15.77209304987921,4.991978278612082,0.5372779691498676,-38.050208116545264
harmonic,1,iqp_d1,-0.0555555555555555,0.5,14.239447402341703,15.77209304987921,4.991978278612082,0.9028254751800844,-38.050208116545264
harmonic,1,iqp_d2,-0.1111111111111111,0.5,18.783797168191388,15.77209304987921,4.991978278612082,1.1909514551294917,-80.55020811654526
harmonic,1,iqp_d3,-0.0555555555555555,0.5,20.59018055777617,15.77209304987921,4.991978278612082,1.3054818084486166,-38.050208116545264
harmonic,1,var_d2_e1,-0.0277777777777777,0.5,6.43661022564975,15.77209304987921,4.991978278612082,0.40810120795597543,-5.050208116545264
harmonic,1,var_d2_e03,-0.0277777777777777,0.5,4.966315110928305,15.77209304987921,4.991978278612082,0.3148799018127996,-5.050208116545264
harmonic,1,var_d3_e1,-0.0833333333333333,0.5,9.294279947752289,15.77209304987921,4.991978278612082,0.5892864008828218,-68.05020811654526
harmonic,1,highd_d2_f15,-0.0277777777777777,0.5,47.47057186616853,15.77209304987921,4.991978278612082,3.009782640518474,-5.050208116545264
harmonic,1,highd_d2_f30,-0.0277777777777777,0.5,55.610859053425095,15.77209304987921,4.991978278612082,3.5259022932185267,-5.050208116545264
harmonic,1,highd_d3_f15,-0.0277777777777777,0.5,47.47057186616856,15.77209304987921,4.991978278612082,3.0097826405184764,-5.050208116545264
harmonic,2,angle_d1,0.0,0.5833333333333334,10.063580024754168,21.81817890703464,5.349624099174214,0.4612474793443672,47.39574661810613
